"congresspeople","community","score1","lifetime_score1","name"
"Richard Blumenthal (D)",1,100,99,"Richard Blumenthal"
"Mike Thompson (D)",1,100,96,"Mike Thompson"
"Tom O'Halleran (D)",1,100,90,"Tom O'Halleran"
"Mark Kelly (D)",1,92,97,"Mark Kelly"
"Scott Peters (D)",1,100,89,"Scott Peters"
"Henry Cuellar (D)",1,92,73,"Henry Cuellar"
"Jamaal Bowman (D)",1,100,97,"Jamaal Bowman"
"Susan Wild (D)",1,100,99,"Susan Wild"
"Ruben Gallego (D)",1,100,98,"Ruben Gallego"
"Jared Golden (D)",1,100,92,"Jared Golden"
"Dina Titus (D)",1,100,98,"Dina Titus"
"Sherrod Brown (D)",1,100,99,"Sherrod Brown"
"Mark Warner (D)",1,100,90,"Mark Warner"
"Tom Suozzi (D)",1,100,94,"Tom Suozzi"
"Joe Manchin (D)",1,82,87,"Joe Manchin"
"Charles E Schumer (D)",1,92,95,"Charles E Schumer"
"Ritchie Torres (D)",1,100,100,"Ritchie Torres"
"Jim Himes (D)",1,100,93,"Jim Himes"
"Tammy Duckworth (D)",1,100,99,"Tammy Duckworth"
"Anna Eshoo (D)",1,100,97,"Anna Eshoo"
"Ron Wyden (D)",1,92,92,"Ron Wyden"
"Lauren A Underwood (D)",1,100,100,"Lauren A Underwood"
"Alexandria Ocasio-Cortez (D)",1,92,88,"Alexandria Ocasio-Cortez"
"Earl Blumenauer (D)",1,100,95,"Earl Blumenauer"
"Adriano Espaillat (D)",1,100,98,"Adriano Espaillat"
"Ann Kuster (D)",1,100,95,"Ann Kuster"
"Martin Heinrich (D)",1,100,99,"Martin Heinrich"
"Robert Menendez (D)",1,100,97,"Robert Menendez"
"Gary Peters (D)",1,100,97,"Gary Peters"
"Amy Klobuchar (D)",1,100,96,"Amy Klobuchar"
"Kyrsten Sinema (D)",1,92,83,"Kyrsten Sinema"
"Bob Casey (D)",1,100,98,"Bob Casey"
"Cori Bush (D)",1,100,97,"Cori Bush"
"Tammy Baldwin (D)",1,100,99,"Tammy Baldwin"
"Tina Smith (D)",1,100,100,"Tina Smith"
"Chris Van Hollen (D)",1,100,97,"Chris Van Hollen"
"Derek Kilmer (D)",1,100,95,"Derek Kilmer"
"Sanford Bishop (D)",1,100,94,"Sanford Bishop"
"Grace Meng (D)",1,100,96,"Grace Meng"
"Gregory Meeks (D)",1,100,94,"Gregory Meeks"
"Brenda Lawrence (D)",1,100,98,"Brenda Lawrence"
"Bernie Sanders (D)",1,91,98,"Bernie Sanders"
"Bernie Sanders (I)",1,91,98,"Bernie Sanders"
"Jon Ossoff (D)",1,100,100,"Jon Ossoff"
"Mazie K Hirono (D)",1,100,100,"Mazie K Hirono"
"Rashida Tlaib (D)",1,100,92,"Rashida Tlaib"
"Joseph Neguse (D)",1,100,99,"Joseph Neguse"
"Ed Perlmutter (D)",1,100,96,"Ed Perlmutter"
"Peter Welch (D)",1,100,97,"Peter Welch"
"Don Beyer (D)",1,100,96,"Don Beyer"
"Danny K Davis (D)",1,100,98,"Danny K Davis"
"James E Clyburn (D)",1,100,97,"James E Clyburn"
"Jesus Garcia (D)",1,100,96,"Jesus Garcia"
"Judy Chu (D)",1,100,98,"Judy Chu"
"Betty McCollum (D)",1,100,97,"Betty McCollum"
"Bobby Scott (D)",1,100,98,"Bobby Scott"
"Josh Gottheimer (D)",1,100,89,"Josh Gottheimer"
