"congresspeople","community","score1","lifetime_score1","name"
"Bill Foster (D)",1,100,95,"Bill Foster"
"Mary Peltola (D)",1,100,100,"Mary Peltola"
"Ted Budd (R)",1,8,8,"Ted Budd"
"Ron Johnson (R)",1,9,10,"Ron Johnson"
"Catherine Cortez Masto (D)",1,100,100,"Catherine Cortez Masto"
"Mark Kelly (D)",1,92,97,"Mark Kelly"
"Rodney Davis (R)",1,31,38,"Rodney Davis"
"Mike Flood (R)",1,0,0,"Mike Flood"
"Tim Ryan (D)",1,100,98,"Tim Ryan"
"Victoria Spartz (R)",1,8,6,"Victoria Spartz"
"Maggie Hassan (D)",1,100,99,"Maggie Hassan"
"Mike Lee (R)",1,9,8,"Mike Lee"
"David McKinley (R)",1,56,42,"David McKinley"
"Raphael Warnock (D)",1,100,100,"Raphael Warnock"
"Jake Ellzey (R)",1,8,6,"Jake Ellzey"
"Chip Roy (R)",1,0,7,"Chip Roy"
"Scott Franklin (R)",1,0,0,"Scott Franklin"
"Alex Mooney (R)",1,0,11,"Alex Mooney"
"Liz Cheney (R)",1,31,15,"Liz Cheney"
"Kat Cammack (R)",1,0,0,"Kat Cammack"
"Jon Ossoff (D)",1,100,100,"Jon Ossoff"
"Mary Miller (R)",1,0,0,"Mary Miller"
"Elizabeth Warren (D)",1,100,99,"Elizabeth Warren"
"Scott Perry (R)",2,0,8,"Scott Perry"
"Ted Cruz (R)",2,17,10,"Ted Cruz"
"Lindsey Graham (R)",2,45,24,"Lindsey Graham"
"Louie Gohmert (R)",2,0,9,"Louie Gohmert"
"Josh Hawley (R)",2,17,12,"Josh Hawley"
"Lee Zeldin (R)",2,8,30,"Lee Zeldin"
"Marjorie Taylor Greene (R)",2,0,0,"Marjorie Taylor Greene"
"Lauren Boebert (R)",2,0,0,"Lauren Boebert"
"Rob Portman (R)",2,45,25,"Rob Portman"
"Madison Cawthorn (R)",2,8,3,"Madison Cawthorn"
"Matt Gaetz (R)",2,8,14,"Matt Gaetz"
"Pete Stauber (R)",3,15,37,"Pete Stauber"
"Ann Wagner (R)",3,8,15,"Ann Wagner"
"Marco Rubio (R)",3,18,11,"Marco Rubio"
"Debbie Stabenow (D)",3,100,97,"Debbie Stabenow"
"Elise Stefanik (R)",3,8,35,"Elise Stefanik"
"Virginia Foxx (R)",3,8,8,"Virginia Foxx"
"Mike Braun (R)",3,8,14,"Mike Braun"
"John Hoeven (R)",3,17,18,"John Hoeven"
"Chuck Grassley (R)",3,17,18,"Chuck Grassley"
"Lisa Murkowski (R)",3,45,39,"Lisa Murkowski"
"Bill Huizenga (R)",3,0,9,"Bill Huizenga"
"Michelle Fischbach (R)",3,8,6,"Michelle Fischbach"
"Tracey Mann (R)",3,0,0,"Tracey Mann"
"Todd Young (R)",3,42,14,"Todd Young"
"Steven Daines (R)",3,25,17,"Steven Daines"
"Brett Guthrie (R)",3,8,12,"Brett Guthrie"
"Susan Collins (R)",3,50,49,"Susan Collins"
"Bruce Westerman (R)",3,8,12,"Bruce Westerman"
"Tom Emmer (R)",3,15,21,"Tom Emmer"
"Kyrsten Sinema (D)",3,92,83,"Kyrsten Sinema"
"Jeff Fortenberry (R)",3,33,21,"Jeff Fortenberry"
"John Boozman (R)",3,17,14,"John Boozman"
"Richard Hudson (R)",3,15,10,"Richard Hudson"
"David Rouzer (R)",3,8,11,"David Rouzer"
"Barry Moore (R)",3,0,0,"Barry Moore"
"Robert B Aderholt (R)",3,8,14,"Robert B Aderholt"
"Mark Warner (D)",3,100,90,"Mark Warner"
"Sam Graves (R)",3,8,18,"Sam Graves"
"Jerry Moran (R)",3,36,17,"Jerry Moran"
"Austin Scott (R)",3,0,13,"Austin Scott"
"Adrian Smith (R)",3,0,9,"Adrian Smith"
"Kevin McCarthy (R)",3,8,12,"Kevin McCarthy"
"Jason Smith (R)",3,0,10,"Jason Smith"
"James E Risch (R)",3,8,10,"James E Risch"
"Cathy McMorris Rodgers (R)",3,0,11,"Cathy McMorris Rodgers"
"Russ Fulcher (R)",3,0,8,"Russ Fulcher"
"Mazie K Hirono (D)",3,100,100,"Mazie K Hirono"
"Ronny Jackson (R)",3,0,0,"Ronny Jackson"
"Rick Crawford (R)",3,0,13,"Rick Crawford"
"Dan Newhouse (R)",3,8,25,"Dan Newhouse"
"John Kennedy (R)",3,27,15,"John Kennedy"
"Barry Loudermilk (R)",3,0,9,"Barry Loudermilk"
"Markwayne Mullin (R)",3,0,15,"Markwayne Mullin"
"Vicky Hartzler (R)",3,8,14,"Vicky Hartzler"
"Randy Weber (R)",3,0,9,"Randy Weber"
"Randy Feenstra (R)",3,8,6,"Randy Feenstra"
"Troy Balderson (R)",3,15,24,"Troy Balderson"
"Bob Casey (D)",3,100,98,"Bob Casey"
"Greg Pence (R)",3,8,17,"Greg Pence"
"Michael Burgess (R)",3,8,9,"Michael Burgess"
"Pete Sessions (R)",3,8,6,"Pete Sessions"
"John Cornyn (R)",3,25,15,"John Cornyn"
"Brian Babin (R)",3,0,11,"Brian Babin"
"Darrell Issa (R)",3,0,10,"Darrell Issa"
"Darin LaHood (R)",3,0,18,"Darin LaHood"
"French Hill (R)",3,8,14,"French Hill"
"Steve Womack (R)",3,15,14,"Steve Womack"
"Chuck Fleischmann (R)",3,0,12,"Chuck Fleischmann"
"Deb Fischer (R)",3,17,17,"Deb Fischer"
"Glenn Thompson (R)",3,8,15,"Glenn Thompson"
"Bill Cassidy (R)",3,27,13,"Bill Cassidy"
"Rob Wittman (R)",3,8,14,"Rob Wittman"
"Kelly Armstrong (R)",3,8,11,"Kelly Armstrong"
"Michael Waltz (R)",3,8,18,"Michael Waltz"
"Andy Barr (R)",3,8,10,"Andy Barr"
"James Comer (R)",3,8,12,"James Comer"
"Rand Paul (R)",3,0,10,"Rand Paul"
"Debbie Lesko (R)",3,0,15,"Debbie Lesko"
"Tim Walberg (R)",3,8,13,"Tim Walberg"
"Joe Manchin (D)",3,82,87,"Joe Manchin"
"August Pfluger (R)",3,0,0,"August Pfluger"
"Jon Tester (D)",3,100,93,"Jon Tester"
"Ken Buck (R)",3,0,7,"Ken Buck"
"Chris Coons (D)",3,100,94,"Chris Coons"
"Ron Estes (R)",3,0,12,"Ron Estes"
"Dusty Johnson (R)",3,8,12,"Dusty Johnson"
"Garret Graves (R)",3,8,15,"Garret Graves"
"Larry Bucshon (R)",3,8,19,"Larry Bucshon"
"Mike Crapo (R)",3,8,12,"Mike Crapo"
"Robert Menendez (D)",3,100,97,"Robert Menendez"
"John Thune (R)",3,25,15,"John Thune"
"Drew Ferguson (R)",3,0,13,"Drew Ferguson"
"Andrew Clyde (R)",3,8,3,"Andrew Clyde"
"Jack Reed (D)",3,100,98,"Jack Reed"
"Lance Gooden (R)",3,0,11,"Lance Gooden"
"Kay Granger (R)",3,15,13,"Kay Granger"
"Michael Cloud (R)",3,0,8,"Michael Cloud"
"Kevin Hern (R)",3,0,8,"Kevin Hern"
"Jeff Duncan (R)",3,0,6,"Jeff Duncan"
"Lloyd Smucker (R)",3,0,11,"Lloyd Smucker"
"Jackie Walorski (R)",3,14,14,"Jackie Walorski"
"Buddy Carter (R)",3,0,11,"Buddy Carter"
"Anthony Gonzalez (R)",3,33,32,"Anthony Gonzalez"
"Jodey Arrington (R)",3,0,8,"Jodey Arrington"
"Trent Kelly (R)",3,0,10,"Trent Kelly"
"Greg Murphy (R)",3,8,16,"Greg Murphy"
"Vernon Buchanan (R)",3,0,15,"Vernon Buchanan"
"Sherrod Brown (D)",3,100,99,"Sherrod Brown"
"Mike Bost (R)",3,25,37,"Mike Bost"
"John Rutherford (R)",3,9,20,"John Rutherford"
"Neal Dunn (R)",3,8,15,"Neal Dunn"
"John Katko (R)",3,77,53,"John Katko"
"Joe Wilson (R)",3,8,11,"Joe Wilson"
"Michael R Turner (R)",3,23,33,"Michael R Turner"
"Mitch McConnell (R)",3,33,17,"Mitch McConnell"
"Fred Keller (R)",3,8,12,"Fred Keller"
"Clay Higgins (R)",3,0,9,"Clay Higgins"
"Claudia Tenney (R)",3,8,20,"Claudia Tenney"
"Blaine Luetkemeyer (R)",3,8,11,"Blaine Luetkemeyer"
"Patrick McHenry (R)",3,0,10,"Patrick McHenry"
"Bryan Steil (R)",3,0,15,"Bryan Steil"
"Tim Scott (R)",3,8,6,"Tim Scott"
"Shelley Moore Capito (R)",3,42,30,"Shelley Moore Capito"
"Steve Scalise (R)",3,8,9,"Steve Scalise"
"Tim Burchett (R)",3,8,14,"Tim Burchett"
"James Lankford (R)",3,8,10,"James Lankford"
"Roger Marshall (R)",3,17,15,"Roger Marshall"
"Bob Latta (R)",3,8,9,"Bob Latta"
"Brian Mast (R)",3,15,23,"Brian Mast"
"Doug LaMalfa (R)",3,8,14,"Doug LaMalfa"
"Doug Lamborn (R)",3,0,6,"Doug Lamborn"
"Dan Crenshaw (R)",3,0,17,"Dan Crenshaw"
"Jim Jordan (R)",3,0,5,"Jim Jordan"
"Tom Cole (R)",3,15,19,"Tom Cole"
"Burgess Owens (R)",3,8,6,"Burgess Owens"
"Matt Rosendale (R)",3,0,0,"Matt Rosendale"
"Tom Tiffany (R)",3,8,8,"Tom Tiffany"
"Mario Diaz-Balart (R)",3,15,38,"Mario Diaz-Balart"
"Roger Williams (R)",3,0,9,"Roger Williams"
"Troy Nehls (R)",3,0,0,"Troy Nehls"
"Michael McCaul (R)",3,15,13,"Michael McCaul"
"Patrick Fallon (R)",3,0,0,"Patrick Fallon"
"Guy Reschenthaler (R)",3,15,24,"Guy Reschenthaler"
"Gary Palmer (R)",3,0,7,"Gary Palmer"
"Byron Donalds (R)",3,0,0,"Byron Donalds"
"Scott Desjarlais (R)",3,8,9,"Scott Desjarlais"
"Mike Gallagher (R)",3,9,11,"Mike Gallagher"
"Mike Kelly (R)",3,8,21,"Mike Kelly"
"Jim Banks (R)",3,0,9,"Jim Banks"
"Joni Ernst (R)",3,25,18,"Joni Ernst"
"Angus King (I)",3,100,98,"Angus King"
"Martin Heinrich (D)",3,100,99,"Martin Heinrich"
"William Timmons (R)",3,0,8,"William Timmons"
"Cliff Bentz (R)",3,8,6,"Cliff Bentz"
"Brad Wenstrup (R)",3,0,8,"Brad Wenstrup"
"Gary Peters (D)",3,100,97,"Gary Peters"
"John Rose (R)",3,0,8,"John Rose"
"Bill Johnson (R)",3,31,22,"Bill Johnson"
"Mike Rounds (R)",3,25,20,"Mike Rounds"
"Mike Carey (R)",3,31,27,"Mike Carey"
"Dick Durbin (D)",3,100,98,"Dick Durbin"
"David P Joyce (R)",3,31,39,"David P Joyce"
"Gus Bilirakis (R)",3,15,12,"Gus Bilirakis"
"John Joyce (R)",3,15,12,"John Joyce"
"Morgan Griffith (R)",3,8,14,"Morgan Griffith"
"John Bergman (R)",3,23,18,"John Bergman"
"Carol Miller (R)",3,0,18,"Carol Miller"
"Bill Hagerty (R)",3,18,11,"Bill Hagerty"
"Tom Cotton (R)",3,17,11,"Tom Cotton"
"Kevin Cramer (R)",3,18,21,"Kevin Cramer"
"Frank D Lucas (R)",3,8,15,"Frank D Lucas"
"Lisa McClain (R)",3,15,6,"Lisa McClain"
"Ralph Norman (R)",3,0,5,"Ralph Norman"
"Greg Steube (R)",3,0,8,"Greg Steube"
"Stephanie Bice (R)",3,15,12,"Stephanie Bice"
"Glenn S Grothman (R)",3,8,10,"Glenn S Grothman"
"Mike Johnson (R)",3,0,10,"Mike Johnson"
"Marsha Blackburn (R)",3,8,6,"Marsha Blackburn"
"Dan Bishop (R)",3,0,5,"Dan Bishop"
"Mitt Romney (R)",3,42,34,"Mitt Romney"
"Roger Wicker (R)",3,33,18,"Roger Wicker"
"Tim Kaine (D)",3,100,93,"Tim Kaine"
"Tammy Baldwin (D)",3,100,99,"Tammy Baldwin"
"Rudy Yakym (R)",3,0,0,"Rudy Yakym"
"Mark Green (R)",3,0,11,"Mark Green"
"John Curtis (R)",3,8,16,"John Curtis"
"Thom Tillis (R)",3,36,21,"Thom Tillis"
"David Kustoff (R)",3,0,13,"David Kustoff"
"Scott Fitzgerald (R)",3,8,3,"Scott Fitzgerald"
"Scott Peters (D)",3,100,89,"Scott Peters"
"John Carter (R)",3,8,11,"John Carter"
"Tom Carper (D)",3,100,89,"Tom Carper"
"Blake Moore (R)",3,8,6,"Blake Moore"
"Billy Long (R)",3,0,11,"Billy Long"
"Fred Upton (R)",3,54,33,"Fred Upton"
"Mike D Rogers (R)",3,8,14,"Mike D Rogers"
"Jay Obernolte (R)",3,15,9,"Jay Obernolte"
"Dan Sullivan (R)",3,27,21,"Dan Sullivan"
"Jerry Carl (R)",3,0,0,"Jerry Carl"
"Diana Harshbarger (R)",3,8,3,"Diana Harshbarger"
"Adam Kinzinger (R)",3,60,36,"Adam Kinzinger"
"Trey Hollingsworth (R)",3,8,14,"Trey Hollingsworth"
"Bill Posey (R)",3,8,12,"Bill Posey"
"Jacky Rosen (D)",3,100,92,"Jacky Rosen"
"Chris Stewart (R)",3,8,12,"Chris Stewart"
"Dan Meuser (R)",3,15,14,"Dan Meuser"
"Jim Baird (R)",3,8,15,"Jim Baird"
"Jim Hagedorn (R)",3,100,23,"Jim Hagedorn"
"John A Barrasso (R)",3,18,12,"John A Barrasso"
"Richard W Allen (R)",3,0,9,"Richard W Allen"
"Jeanne Shaheen (D)",3,100,94,"Jeanne Shaheen"
"Cindy Hyde-Smith (R)",3,10,18,"Cindy Hyde-Smith"
"Thomas Massie (R)",3,8,15,"Thomas Massie"
"Jake Laturner (R)",3,8,3,"Jake Laturner"
"Andy Biggs (R)",3,0,13,"Andy Biggs"
"Bob Good (R)",3,0,0,"Bob Good"
"Cynthia Lummis (R)",3,25,9,"Cynthia Lummis"
"Warren Davidson (R)",3,8,7,"Warren Davidson"
"John Moolenaar (R)",3,0,17,"John Moolenaar"
"James M Inhofe (R)",3,18,12,"James M Inhofe"
"Ben Cardin (D)",3,100,98,"Ben Cardin"
"Hal Rogers (R)",3,8,15,"Hal Rogers"
"Rick Scott (R)",3,0,9,"Rick Scott"
"Steven Palazzo (R)",3,0,12,"Steven Palazzo"
"Ben Cline (R)",3,8,11,"Ben Cline"
"Tommy Tuberville (R)",3,0,6,"Tommy Tuberville"
"Ben Sasse (R)",3,18,10,"Ben Sasse"
"Tom Rice (R)",3,8,11,"Tom Rice"
"Joe Sempolinski (R)",3,0,0,"Joe Sempolinski"
"Chris Jacobs (R)",3,31,24,"Chris Jacobs"
"Tom Reed (R)",3,67,32,"Tom Reed"
"Pat Toomey (R)",3,10,10,"Pat Toomey"
"Kevin Brady (R)",3,0,9,"Kevin Brady"
"Roy Blunt (R)",3,36,18,"Roy Blunt"
"Dianne Feinstein (D)",3,100,94,"Dianne Feinstein"
"Richard Burr (R)",3,44,17,"Richard Burr"
"Connie Conway (R)",3,0,0,"Connie Conway"
"Jared Huffman (D)",4,100,96,"Jared Huffman"
"Jimmy Panetta (D)",4,100,95,"Jimmy Panetta"
"Nancy Pelosi (D)",4,100,97,"Nancy Pelosi"
"Eric Swalwell (D)",4,100,98,"Eric Swalwell"
"Zoe Lofgren (D)",4,100,97,"Zoe Lofgren"
