Name,State,District,Party,Score,Lifetime Score,Postal Service Reform Act (H.R. 3076),Honoring Our Promise to Address Comprehensive Toxics (PACT) Act of 2021 (H.R. 3967),FAIR Act (H.R. 963 (Amendment #1)),Rights for the Transportation Security Administration Workforce Act (H.R. 903),National Defense Authorization Act for Fiscal Year 2023 (Amendment #3) (H.R. 7900),National Defense Authorization Act for Fiscal Year 2023 (Amendment #454) (H.R. 7900),CHIPS and Science Act  (H.R. 4346),Inflation Reduction Act (H.R. 5376),Presidential Election Reform Act (H.R. 8873),Rail Workers Sick Leave (H.Con.Res 119),Veteran Service Recognition Act (H.R. 7946),VA Employee Fairness Act (H.R. 1948),Omnibus Act of 2023 (H.R. 2617)
Rep. Mary Peltola,AK,0,Democrat,100%,100%,,,,,,,,,?,?,?,?,?
Rep. Don Young,AK,0,Republican,100%,45%,?,?,?,,,,,,,,,,
Rep. Jerry Carl,AL,1,Republican,0%,0%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Barry Moore,AL,2,Republican,0%,0%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mike D. Rogers,AL,3,Republican,8%,14%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Robert B. Aderholt,AL,4,Republican,8%,14%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mo Brooks,AL,5,Republican,0%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Gary Palmer,AL,6,Republican,0%,7%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Terri Sewell,AL,7,Democrat,100%,94%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Rick Crawford,AR,1,Republican,0%,13%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. French Hill,AR,2,Republican,8%,14%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Steve Womack,AR,3,Republican,15%,14%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Bruce Westerman,AR,4,Republican,8%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Tom O'Halleran,AZ,1,Democrat,100%,90%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ann Kirkpatrick,AZ,2,Democrat,100%,94%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Raúl M. Grijalva,AZ,3,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Paul Gosar,AZ,4,Republican,0%,7%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Andy Biggs,AZ,5,Republican,0%,13%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. David Schweikert,AZ,6,Republican,0%,7%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ruben Gallego,AZ,7,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Debbie Lesko,AZ,8,Republican,0%,15%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Greg Stanton,AZ,9,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Doug LaMalfa,CA,1,Republican,8%,14%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jared Huffman,CA,2,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. John Garamendi,CA,3,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Tom McClintock,CA,4,Republican,0%,7%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mike Thompson,CA,5,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Doris Matsui,CA,6,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ami Bera,CA,7,Democrat,100%,91%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jay Obernolte,CA,8,Republican,15%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jerry McNerney,CA,9,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Josh Harder,CA,10,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mark DeSaulnier,CA,11,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Nancy Pelosi,CA,12,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Barbara Lee,CA,13,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jackie Speier,CA,14,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Eric Swalwell,CA,15,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jim Costa,CA,16,Democrat,100%,85%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ro Khanna,CA,17,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Anna G. Eshoo,CA,18,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Zoe Lofgren,CA,19,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jimmy Panetta,CA,20,Democrat,100%,95%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. David Valadao,CA,21,Republican,23%,29%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Connie Conway,CA,22,Republican,0%,0%,,,,,?,?,?,?,?,?,?,?,?
Rep. Kevin McCarthy,CA,23,Republican,8%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Salud Carbajal,CA,24,Democrat,100%,95%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mike Garcia,CA,25,Republican,23%,17%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Julia Brownley,CA,26,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Judy Chu,CA,27,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Adam B. Schiff,CA,28,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Tony Cárdenas,CA,29,Democrat,100%,95%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Brad Sherman,CA,30,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Pete Aguilar,CA,31,Democrat,100%,94%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Grace F. Napolitano,CA,32,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ted Lieu,CA,33,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jimmy Gomez,CA,34,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Norma Torres,CA,35,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Raul Ruiz,CA,36,Democrat,100%,95%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Karen Bass,CA,37,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,,
Rep. Linda T. Sánchez,CA,38,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Young Kim,CA,39,Republican,15%,18%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Lucille Roybal-Allard,CA,40,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mark Takano,CA,41,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ken Calvert,CA,42,Republican,8%,15%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Maxine Waters,CA,43,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Nanette Barragán,CA,44,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Katie Porter,CA,45,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. J. Luis Correa,CA,46,Democrat,100%,91%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Alan Lowenthal,CA,47,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Michelle Steel,CA,48,Republican,0%,3%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mike Levin,CA,49,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Darrell Issa,CA,50,Republican,0%,10%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Juan Vargas,CA,51,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Scott Peters,CA,52,Democrat,100%,89%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Sara Jacobs,CA,53,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Diana DeGette,CO,1,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Joe Neguse,CO,2,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Lauren Boebert,CO,3,Republican,0%,0%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ken Buck,CO,4,Republican,0%,7%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Doug Lamborn,CO,5,Republican,0%,6%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jason Crow,CO,6,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ed Perlmutter,CO,7,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. John B. Larson,CT,1,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Joe Courtney,CT,2,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Rosa DeLauro,CT,3,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jim Himes,CT,4,Democrat,100%,93%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jahana Hayes,CT,5,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Lisa Blunt Rochester,DE,0,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Matt Gaetz,FL,1,Republican,8%,14%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Neal Dunn,FL,2,Republican,8%,15%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Kat Cammack,FL,3,Republican,0%,0%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. John Rutherford,FL,4,Republican,9%,20%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Al Lawson,FL,5,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Michael Waltz,FL,6,Republican,8%,18%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Stephanie Murphy,FL,7,Democrat,92%,87%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Bill Posey,FL,8,Republican,8%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Darren Soto,FL,9,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Val Demings,FL,10,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Daniel Webster,FL,11,Republican,8%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Gus Bilirakis,FL,12,Republican,15%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Charlie Crist,FL,13,Democrat,100%,96%,?,?,?,?,?,?,?,?,,,,,
Rep. Kathy Castor,FL,14,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Scott Franklin,FL,15,Republican,0%,0%,?,?,?,?,?,?,?,?,?,?,?,?,?
