"name","state","district","party","score","lifetime_score","chamber"
"Rep. Mary Peltola","AK",0,"Democrat",100,100,"House"
"Rep. Don Young","AK",0,"Republican",100,45,"House"
"Rep. Jerry Carl","AL",1,"Republican",0,0,"House"
"Rep. Barry Moore","AL",2,"Republican",0,0,"House"
"Rep. Mike D. Rogers","AL",3,"Republican",8,14,"House"
"Rep. Robert B. Aderholt","AL",4,"Republican",8,14,"House"
"Rep. Mo Brooks","AL",5,"Republican",0,9,"House"
"Rep. Gary Palmer","AL",6,"Republican",0,7,"House"
"Rep. Terri Sewell","AL",7,"Democrat",100,94,"House"
"Rep. Rick Crawford","AR",1,"Republican",0,13,"House"
"Rep. French Hill","AR",2,"Republican",8,14,"House"
"Rep. Steve Womack","AR",3,"Republican",15,14,"House"
"Rep. Bruce Westerman","AR",4,"Republican",8,12,"House"
"Rep. Tom O'Halleran","AZ",1,"Democrat",100,90,"House"
"Rep. Ann Kirkpatrick","AZ",2,"Democrat",100,94,"House"
"Rep. Raúl M. Grijalva","AZ",3,"Democrat",100,99,"House"
"Rep. Paul Gosar","AZ",4,"Republican",0,7,"House"
"Rep. Andy Biggs","AZ",5,"Republican",0,13,"House"
"Rep. David Schweikert","AZ",6,"Republican",0,7,"House"
"Rep. Ruben Gallego","AZ",7,"Democrat",100,98,"House"
"Rep. Debbie Lesko","AZ",8,"Republican",0,15,"House"
"Rep. Greg Stanton","AZ",9,"Democrat",100,100,"House"
"Rep. Doug LaMalfa","CA",1,"Republican",8,14,"House"
"Rep. Jared Huffman","CA",2,"Democrat",100,96,"House"
"Rep. John Garamendi","CA",3,"Democrat",100,98,"House"
"Rep. Tom McClintock","CA",4,"Republican",0,7,"House"
"Rep. Mike Thompson","CA",5,"Democrat",100,96,"House"
"Rep. Doris Matsui","CA",6,"Democrat",100,97,"House"
"Rep. Ami Bera","CA",7,"Democrat",100,91,"House"
"Rep. Jay Obernolte","CA",8,"Republican",15,9,"House"
"Rep. Jerry McNerney","CA",9,"Democrat",100,97,"House"
"Rep. Josh Harder","CA",10,"Democrat",100,99,"House"
"Rep. Mark DeSaulnier","CA",11,"Democrat",100,98,"House"
"Rep. Nancy Pelosi","CA",12,"Democrat",100,97,"House"
"Rep. Barbara Lee","CA",13,"Democrat",100,99,"House"
"Rep. Jackie Speier","CA",14,"Democrat",100,96,"House"
"Rep. Eric Swalwell","CA",15,"Democrat",100,98,"House"
"Rep. Jim Costa","CA",16,"Democrat",100,85,"House"
"Rep. Ro Khanna","CA",17,"Democrat",100,97,"House"
"Rep. Anna G. Eshoo","CA",18,"Democrat",100,97,"House"
"Rep. Zoe Lofgren","CA",19,"Democrat",100,97,"House"
"Rep. Jimmy Panetta","CA",20,"Democrat",100,95,"House"
"Rep. David Valadao","CA",21,"Republican",23,29,"House"
"Rep. Connie Conway","CA",22,"Republican",0,0,"House"
"Rep. Kevin McCarthy","CA",23,"Republican",8,12,"House"
"Rep. Salud Carbajal","CA",24,"Democrat",100,95,"House"
"Rep. Mike Garcia","CA",25,"Republican",23,17,"House"
"Rep. Julia Brownley","CA",26,"Democrat",100,96,"House"
"Rep. Judy Chu","CA",27,"Democrat",100,98,"House"
"Rep. Adam B. Schiff","CA",28,"Democrat",100,97,"House"
"Rep. Tony Cárdenas","CA",29,"Democrat",100,95,"House"
"Rep. Brad Sherman","CA",30,"Democrat",100,98,"House"
"Rep. Pete Aguilar","CA",31,"Democrat",100,94,"House"
"Rep. Grace F. Napolitano","CA",32,"Democrat",100,100,"House"
"Rep. Ted Lieu","CA",33,"Democrat",100,97,"House"
"Rep. Jimmy Gomez","CA",34,"Democrat",100,99,"House"
"Rep. Norma Torres","CA",35,"Democrat",100,98,"House"
"Rep. Raul Ruiz","CA",36,"Democrat",100,95,"House"
"Rep. Karen Bass","CA",37,"Democrat",100,99,"House"
"Rep. Linda T. Sánchez","CA",38,"Democrat",100,99,"House"
"Rep. Young Kim","CA",39,"Republican",15,18,"House"
"Rep. Lucille Roybal-Allard","CA",40,"Democrat",100,98,"House"
"Rep. Mark Takano","CA",41,"Democrat",100,98,"House"
"Rep. Ken Calvert","CA",42,"Republican",8,15,"House"
"Rep. Maxine Waters","CA",43,"Democrat",100,99,"House"
"Rep. Nanette Barragán","CA",44,"Democrat",100,98,"House"
"Rep. Katie Porter","CA",45,"Democrat",100,100,"House"
"Rep. J. Luis Correa","CA",46,"Democrat",100,91,"House"
"Rep. Alan Lowenthal","CA",47,"Democrat",100,98,"House"
"Rep. Michelle Steel","CA",48,"Republican",0,3,"House"
"Rep. Mike Levin","CA",49,"Democrat",100,100,"House"
"Rep. Darrell Issa","CA",50,"Republican",0,10,"House"
"Rep. Juan Vargas","CA",51,"Democrat",100,99,"House"
"Rep. Scott Peters","CA",52,"Democrat",100,89,"House"
"Rep. Sara Jacobs","CA",53,"Democrat",100,100,"House"
"Rep. Diana DeGette","CO",1,"Democrat",100,97,"House"
"Rep. Joe Neguse","CO",2,"Democrat",100,99,"House"
"Rep. Lauren Boebert","CO",3,"Republican",0,0,"House"
"Rep. Ken Buck","CO",4,"Republican",0,7,"House"
"Rep. Doug Lamborn","CO",5,"Republican",0,6,"House"
"Rep. Jason Crow","CO",6,"Democrat",100,100,"House"
"Rep. Ed Perlmutter","CO",7,"Democrat",100,96,"House"
"Rep. John B. Larson","CT",1,"Democrat",100,98,"House"
"Rep. Joe Courtney","CT",2,"Democrat",100,99,"House"
"Rep. Rosa DeLauro","CT",3,"Democrat",100,99,"House"
"Rep. Jim Himes","CT",4,"Democrat",100,93,"House"
